證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1713,國化,542094,349,24813311,46.40,46.55,44.80,46.40, ,0.00,46.30,22,46.40,3,18.71
1714,和桐,676861,393,6072997,8.94,9.00,8.93,8.97,+,0.04,8.97,10,8.98,12,17.59
1717,長興,1001742,518,28605687,28.40,28.70,28.35,28.55,+,0.15,28.50,32,28.55,20,23.21
1718,中纖,1327511,674,10486933,7.88,7.94,7.85,7.89,+,0.03,7.88,17,7.89,14,0.00
1720,生達,184737,197,11836257,64.50,64.50,63.80,63.90,-,0.30,63.90,2,64.00,1,13.45
1721,三晃,505336,326,7411807,14.70,14.80,14.55,14.55,-,0.15,14.55,67,14.65,4,0.00
1722,台肥,721364,554,46736742,64.20,65.00,64.10,65.00,+,0.70,64.90,5,65.00,102,15.15
1723,中碳,207316,223,23878609,115.50,115.50,114.50,115.50,-,0.50,115.00,7,115.50,7,17.91
1725,元禎,7774,18,162659,20.85,21.00,20.85,20.95,+,0.10,20.90,1,21.00,1,19.40
1726,永記,3161,23,236674,75.00,75.00,74.60,74.90,-,0.10,74.80,1,74.90,1,14.49
1727,中華化,118433,140,3258504,27.30,27.75,27.30,27.45,+,0.15,27.40,3,27.45,5,30.16
1730,花仙子,12640,38,715690,56.60,56.70,56.60,56.60, ,0.00,56.60,6,56.70,3,16.08
1731,美吾華,109559,62,2426568,22.15,22.20,22.10,22.15, ,0.00,22.10,17,22.20,14,18.16
1732,毛寶,469581,377,14574992,31.25,31.50,30.30,30.90,-,0.50,30.90,2,31.05,4,0.00
1733,五鼎,366298,590,12073677,33.00,33.45,32.55,32.65,-,0.60,32.65,1,32.70,2,22.67
1734,杏輝,187824,166,6179389,32.95,33.00,32.80,33.00,+,0.05,32.85,3,33.00,16,20.00
1735,日勝化,4763,23,80773,16.80,17.00,16.80,16.90, ,0.00,16.90,4,16.95,1,22.53
1736,喬山,196100,201,13060508,65.70,67.00,65.70,66.60,+,0.90,66.60,11,66.70,1,34.15
1737,臺鹽,123881,138,4207393,33.85,34.00,33.85,33.95,+,0.10,33.95,13,34.00,257,17.50
1752,南光,84000,68,4118000,49.10,49.35,48.90,48.90,-,0.10,48.85,7,49.15,1,12.51
1760,寶齡富錦,440397,428,46229049,104.00,106.00,103.50,104.00,+,0.50,104.00,19,104.50,4,0.00
1762,中化生,100264,317,5250287,52.50,52.60,52.10,52.30,-,0.30,52.30,1,52.40,3,13.98
1773,勝一,167599,195,22696903,134.00,136.00,134.00,135.00,+,0.50,135.00,9,135.50,3,21.77
1776,展宇,1000,1,16700,16.70,16.70,16.70,16.70,+,0.05,16.65,1,16.75,1,111.33
1783,和康生,128679,137,5857344,45.00,45.90,45.00,45.10,+,0.10,45.10,3,45.35,1,20.98
1786,科妍,89599,147,6764257,76.50,76.70,74.90,75.10,-,1.10,75.10,5,75.30,1,30.04
1789,神隆,190113,134,4828740,25.30,25.45,25.30,25.40,+,0.15,25.40,7,25.45,11,87.59
1795,美時,3693633,3451,1015634553,274.50,278.00,273.00,273.50,-,1.00,273.50,72,274.00,1,18.67
1802,台玻,1533168,619,28018070,18.15,18.35,18.15,18.35,+,0.20,18.30,27,18.35,179,0.00
1805,寶徠,279842,283,4559225,16.00,16.95,15.60,16.40,+,0.25,16.25,4,16.40,11,0.00
1806,冠軍,797630,436,8885151,11.30,11.35,11.00,11.00,-,0.20,10.95,146,11.00,13,0.00
